Token;GroundTruth
Great;ADJ
price;NOUN
I;PRON
got;VERB
better;ADJ
range;NOUN
by;ADP
just;ADV
using;VERB
9db;NOUN
antennas;NOUN
on;ADP
the;DET
router;NOUN
.;PUNCT
This;PRON
did;VERB
nothing;PRON
to;ADP
boost;VERB
the;DET
WiFi;NOUN
signal;NOUN
,;COMMA
so;ADV
it's;PRON
decommissioned;VERB
for;ADP
now;ADV
.;PUNCT
Gets;VERB
the;DET
job;NOUN
done;ADJ
.;PUNCT
Very;ADV
accurate;ADJ
Love;VERB
our;DET
new;ADJ
Echo;NOUN
.;PUNCT
We;PRON
purchased;VERB
a;DET
2nd;ADJ
one;PRON
the;DET
next;ADJ
week;NOUN
for;ADP
the;DET
other;ADJ
floor;NOUN
.;PUNCT
Very;ADV
useful;ADJ
and;CONJ
easy;ADJ
to;ADP
use;VERB
.;PUNCT
It;PRON
was;VERB
a;DET
gift;NOUN
that;PRON
I;PRON
probably;ADV
wouldn;VERB
t;ADV
have;VERB
bought;VERB
on;ADP
my;DET
own;PRON
and;CONJ
I;PRON
love;VERB
it;PRON
.;PUNCT
This;DET
thing;NOUN
works;VERB
great;ADJ
.;PUNCT
No;ADV
more;ADV
flaky;ADJ
,;COMMA
random;ADJ
dead;ADJ
zones;NOUN
in;ADP
my;DET
bedroom;NOUN
.;PUNCT
easy;ADJ
to;ADP
set;VERB
up;ADV
too;ADV
.;PUNCT
just;ADV
plug;VERB
into;ADP
a;DET
outlet;NOUN
near;ADV
the;DET
router;NOUN
,;COMMA
push;VERB
a;DET
couple;NOUN
of;ADP
buttons;NOUN
,;COMMA
and;CONJ
then;ADV
plug;NOUN
it;PRON
into;ADP
an;DET
outlet;NOUN
halfway;ADV
between;ADP
the;DET
router;NOUN
and;CONJ
the;DET
dead;ADJ
zone;NOUN
.;PUNCT
I;PRON
have;VERB
full;ADJ
Wi;NOUN
Fi;NOUN
coverage;NOUN
in;ADP
my;DET
whole;ADJ
house;NOUN
now;ADV
.;PUNCT
PARTY;NOUN
.;PUNCT
Received;VERB
Echo;NOUN
Dot;NOUN
as;ADP
a;DET
gift;NOUN
and;CONJ
love;VERB
it;PRON
.;PUNCT
Nothing;PRON
but;CONJ
5;NUM
stars;NOUN
.;PUNCT
had;VERB
trouble;NOUN
with;ADP
it;PRON
dropping;VERB
the;DET
signal;NOUN
,;COMMA
but;CONJ
after;ADP
some;DET
online;ADJ
research;NOUN
,;COMMA
I;PRON
moved;VERB
the;DET
unit;NOUN
and;CONJ
its;DET
attached;ADJ
speaker;NOUN
,;COMMA
a;DET
unit;NOUN
from;ADP
my;DET
laptop;NOUN
,;COMMA
to;ADP
an;DET
different;ADJ
location;NOUN
where;ADV
it;PRON
was;VERB
the;DET
only;ADV
thing;NOUN
plugged;VERB
into;ADP
the;DET
outlet;NOUN
and;CONJ
nothing;PRON
to;ADP
interfere;VERB
and;CONJ
it;PRON
has;VERB
been;VERB
giving;VERB
me;PRON
the;DET
same;ADJ
trouble;NOUN
free;ADJ
service;NOUN
my;DET
regular;ADJ
Echo;NOUN
has;VERB
,;COMMA
I;PRON
might;VERB
even;ADV
buy;VERB
an;DET
third;ADJ
one;PRON
for;ADP
the;DET
bedroom;NOUN
.;PUNCT
Always;ADV
good;ADJ
to;ADP
