Token;GroundTruth
First;NOUN
visit;VERB
to;ADP
The;DET
Cavern;NOUN
it;PRON
was;VERB
brilliant;ADJ
would;VERB
defo;ADV
.;PUNCT
go;VERB
again;ADV
if;CONJ
in;ADP
the;DET
area;NOUN
xCavern;NOUN
Club;NOUN
Liverpool;NOUN
One;PRON
of;ADP
the;DET
best;ADJ
.;PUNCT
.;PUNCT
in;ADP
the;DET
world;NOUN
.;PUNCT
.;PUNCT
Spent;VERB
nearly;ADV
three;DET
hours;NOUN
there;ADV
yesterdayMagical;ADJ
experience;NOUN
spent;VERB
too;ADV
much;ADV
money;NOUN
thoughFabulous;ADJ
books;NOUN
,;COMMA
food;NOUN
halls;NOUN
and;CONJ
toys;NOUN
.;PUNCT
Love;VERB
the;DET
Cavern;NOUN
Club;NOUN
had;VERB
a;DET
fabulous;ADJ
time;NOUN
in;ADP
there;ADV
watching;VERB
the;DET
fantastic;ADJ
Tony;NOUN
Coburn;NOUN
great;ADJ
atmosphere;NOUN
.;PUNCT
Can't;VERB
wait;VERB
to;ADP
visit;VERB
again;ADV
.;PUNCT
Cavern;NOUN
Club;NOUN
Liverpool;NOUN
likes;NOUN
.;PUNCT
Loved;VERB
it;PRON
the;DET
music;NOUN
and;CONJ
venue;NOUN
is;VERB
amazing;ADJ
well;ADV
worth;NOUN
a;DET
visit;VERB
.;PUNCT
Will;VERB
definitely;ADV
go;VERB
again;ADP
Cavern;NOUN
Club;NOUN
Liverpool;NOUN
Wonderful;ADJ
and;CONJ
big;ADJ
place;NOUN
to;ADP
shop;NOUN
.;PUNCT
Busy;ADJ
and;CONJ
lots;NOUN
of;ADP
different;ADJ
places;NOUN
to;ADP
eat;VERB
.;PUNCT
I;PRON
enjoy;VERB
walking;VERB
around;ADV
and;CONJ
look;VERB
at;ADP
the;DET
nice;ADJ
items;NOUN
to;ADP
buy;VERB
.;PUNCT
Was;VERB
travelling;VERB
with;ADP
a;DET
5;NUM
year;NOUN
old;ADJ
and;CONJ
it;PRON
was;VERB
her;PRON
first;ADJ
experience;NOUN
flying;VERB
,;COMMA
staff;NOUN
were;VERB
very;ADJ
warm;ADJ
at;ADP
security;NOUN
and;CONJ
talked;VERB
us;PRON
through;ADP
everything;PRON
and;CONJ
even;ADV
reassured;VERB
her;PRON
when;CONJ
her;DET
teddy;NOUN
was;VERB
being;VERB
scanned;VERB
.;PUNCT
The;DET
play;NOUN
area;NOUN
for;ADP
kids;NOUN
was;VERB
a;DET
lifesaver;NOUN
,;COMMA
I;PRON
just;ADV
wish;VERB
