Token;Ground Truth
Toro;NOUN
with;ADP
a;DET
u00a310;X
Groupon;NOUN
offer;NOUN
.;PUNCT
I;PRON
had;VERB
read;VERB
some;DET
bad;ADJ
reviews;NOUN
so;ADV
did;VERB
not;ADV
expect;VERB
too;ADV
much;ADV
,;COMMA
however;ADV
i;PRON
was;VERB
pleasantly;ADJ
surprised;ADJ
.;PUNCT
The;DET
steak;NOUN
was;VERB
really;ADV
good;ADJ
.;PUNCT
There;ADV
were;VERB
14;NUM
of;ADP
us;PRON
and;CONJ
all;DET
orders;NOUN
were;VERB
correct;ADJ
and;CONJ
everybody;PRON
seemed;VERB
happy;ADJ
with;ADP
their;DET
meal;NOUN
and;CONJ
steaks;NOUN
were;VERB
cooked;VERB
to;ADP
perfection;NOUN
and;CONJ
good;ADJ
quality;NOUN
.;PUNCT
the;DET
restaurant;NOUN
could;VERB
improve;VERB
on;ADP
the;DET
hospitality;NOUN
side;NOUN
.;PUNCT
groupon;NOUN
is;VERB
a;DET
good;ADJ
way;NOUN
to;ADP
get;VERB
new;ADJ
customers;NOUN
through;ADP
the;DET
door;NOUN
and;CONJ
they;PRON
could;VERB
have;VERB
been;VERB
more;ADV
welcoming;ADJ
and;CONJ
more;ADV
hospitable;ADJ
.;PUNCT
On;ADP
the;DET
whole;ADV
the;DET
waitress;NOUN
did;VERB
a;DET
good;ADJ
job;NOUN
,;COMMA
it;PRON
became;VERB
busy;ADJ
and;CONJ
she;PRON
seemed;VERB
on;ADP
her;PRON
own;PRON
most;DET
of;ADP
the;DET
time;NOUN
and;CONJ
she;PRON
managed;VERB
but;CONJ
it;PRON
did;VERB
not;ADV
give;VERB
her;PRON
time;NOUN
to;ADP
show;VERB
any;DET
real;ADJ
service;NOUN
.;PUNCT
If;CONJ
you;PRON
dislike;VERB
crowds;NOUN
this;PRON
is;VERB
absolutely;ADV
not;ADV
a;DET
place;NOUN
for;ADP
you;PRON
.;PUNCT
If;CONJ
you;PRON
're;VERB
looking;VERB
to;ADP
relax;VERB
choose;VERB
another;DET
location;NOUN
.;PUNCT
However;ADV
if;CONJ
you;PRON
are;VERB
looking;VERB
for;ADP
a;DET
party;NOUN
and;CONJ
don;VERB
't;ADV
mind;VERB
spending;VERB
the;DET
money;NOUN
this;PRON
is;VERB
the;DET
place;NOUN
to;ADP
be;VERB
.;PUNCT
Be;VERB
prepared;VERB
for;ADP
an;DET
extremely;ADV
busy;ADJ
beach;NOUN
,;COMMA
tiny;ADJ
hotels;NOUN
with;ADP
only;ADV
valet;NOUN
parking;NOUN
and;CONJ
30;NUM
drinks;NOUN
.;PUNCT
The;DET
hotel;NOUN
is;VERB
amazing;ADJ
.;PUNCT
Excellent;ADJ
view;NOUN
and;CONJ
location;NOUN
.;PUNCT
Definitely;ADV
if;CONJ
come;VERB
back;VERB
to;ADP
Las;NOUN
Vegas;NOUN
I;PRON
will;VERB
stay;VERB
again;ADV
in;ADP
this;DET
hotel;NOUN
.;PUNCT
The;DET
service;NOUN
was;VERB
awesome;ADJ
,;COMMA
the;DET
hotel;NOUN
is;VERB
very;ADJ
clean;ADJ
and;CONJ
it;PRON
looks;VERB
wonderful;ADJ
at;ADP
night;NOUN
.;PUNCT
We;PRON
went;VERB
to;ADP
eat;VERB
at;ADP
Mesa;NOUN
Grill;NOUN
recently;ADV
.;PUNCT
We;PRON
did;VERB
not;ADV
have;VERB
reservations;NOUN
but;CONJ
they;PRON
got;VERB
us;PRON
a;DET
table;NOUN
and;CONJ
did;VERB
not;ADV
have;VERB
to;ADP
wait;VERB
long;ADJ
for;ADP
a;DET
table;NOUN
.;PUNCT
I;PRON
had;VERB
the;DET
scallops;NOUN
for;ADP
dinner;NOUN
,;COMMA
and;CONJ
it;PRON
surpassed;VERB
all;PRON
of;ADP
my;DET
expectations;NOUN
.;PUNCT
They;PRON
were;VERB
cooked;VERB
and;CONJ
seasoned;VERB
perfectly;ADV
.;PUNCT
Even;ADJ
though;CONJ
our;DET
food;NOUN
was;VERB
outstanding;ADJ
,;COMMA
the;DET
service;NOUN
we;PRON
received;VERB
from;ADP
out;ADV
waitress;NOUN
was;VERB
beyond;ADP
exceptional;ADJ
.;PUNCT
I;PRON
can;VERB
't;ADV
remember;VERB
her;DET
name;NOUN
,;COMMA
all;PRON
I;PRON
remember;VERB
is;VERB
that;PRON
she;PRON
has;VERB
been;VERB
working;VERB
there;ADV
9;NUM
years;NOUN
,;COMMA
went;VERB
above;ADV
and;CONJ
beyond;ADP
what;PRON
you;PRON
would;VERB
normally;ADV
expect;VERB
from;ADP
a;DET
waitress;NOUN
.;PUNCT
She;PRON
was;VERB
extremely;ADV
knowledgeable;ADJ
about;ADV
the;DET
food;NOUN
that;PRON
we;PRON
were;VERB
about;ADV
to;ADP
eat;VERB
.;PUNCT
I;PRON
have;VERB
nothing;PRON
but;CONJ
amazement;NOUN
for;ADP
our;DET
waitress;NOUN
.;PUNCT
Overall;ADV
,;COMMA
I;PRON
would;VERB
completely;ADV
recommend;VERB
Mesa;NOUN
Grill;NOUN
to;ADP
anyone;PRON
who;PRON
was;VERB
looking;VERB
for;ADP
a;DET
great;ADJ
meal;NOUN
with;ADP
great;ADJ
service;NOUN
.;PUNCT
My;DET
wife;NOUN
and;CONJ
I;PRON
have;VERB
stayed;VERB
at;ADP
the;DET
