Token;GroundTruth
The;DET
Times;ADP
of;ADP
India;NOUN
The;DET
wonder;NOUN
that;PRON
is;VERB
India's;NOUN
election;NOUN
.;PUNCT
Ahh;X
.;PUNCT
got;VERB
rid;ADJ
of;ADP
stupid;ADJ
time;NOUN
warner;NOUN
today;ADV
amp;NOUN
,;COMMA
now;ADV
taking;VERB
a;DET
nap;NOUN
while;CONJ
the;DET
roomies;NOUN
cook;VERB
for;ADP
me;PRON
.;PUNCT
Pretty;ADV
good;ADJ
end;NOUN
for;ADP
a;DET
monday;NOUN
erickoston;NOUN
That;PRON
looks;VERB
an;DET
awful;ADJ
lot;NOUN
like;ADP
one;PRON
of;ADP
Nike's;NOUN
private;ADJ
jets;NOUN
.;PUNCT
I'm;PRON
just;ADV
sayin;VERB
.;PUNCT
Shit's;NOUN
hitting;VERB
the;DET
fan;NOUN
in;ADP
Iran;NOUN
.;PUNCT
craziness;NOUN
indeed;ADV
iranelection;NOUN
is;VERB
going;VERB
to;ADP
sleep;VERB
then;ADV
on;ADP
a;DET
bike;NOUN
ride;VERB
Night;NOUN
at;ADP
the;DET
Museum;NOUN
,;COMMA
Wolverine;NOUN
and;CONJ
junk;NOUN
food;NOUN
perfect;ADJ
monday;NOUN
.;PUNCT
kirstiealley;NOUN
my;DET
dentist;NOUN
is;VERB
great;ADJ
but;CONJ
she's;PRON
expensive;ADJ
.;PUNCT
Missed;VERB
this;DET
insight;NOUN
May;NOUN
column;NOUN
One;NUM
smart;ADJ
guy;NOUN
looking;VERB
closely;ADV
at;ADP
why;ADV
he's;PRON
impressed;VERB
with;ADP
Kindle2;NOUN
when;CONJ
I;PRON
worked;VERB
for;ADP
Nike;NOUN
we;PRON
had;VERB
one;NUM
fav;ADJ
word;NOUN
JUST;ADV
DO;VERB
IT;PRON
.;PUNCT
HATE;VERB
safeway;NOUN
select;VERB
green;ADJ
tea;NOUN
icecream;NOUN
.;PUNCT
bought;VERB
two;NUM
cartons;NOUN
,;COMMA
what;PRON
a;DET
waste;NOUN
of;ADP
money;NOUN
.;PUNCT
gt;NOUN
,;COMMA
_;PUNCT
lt;PRON
,;COMMA
Why;ADV
the;DET
hell;NOUN
is;VERB
Pelosi;NOUN
in;ADP
freakin;ADJ
China;NOUN
.;PUNCT
and;CONJ
on;ADP
whose;PRON
dime;NOUN
.;PUNCT
mattcutts;NOUN
have;VERB
google;NOUN
profiles;NOUN
stopped;VERB
showing;VERB
up;PRT
in;ADP
searches;NOUN
.;PUNCT
cant;VERB
see;VERB
them;PRON
anymore;ADV
Star;NOUN
Trek;NUM
was;VERB
as;CONJ
good;ADJ
as;CONJ
everyone;PRON
said;VERB
.;PUNCT
uscsports21;NOUN
LeBron;NOUN
is;VERB
a;DET
monsta;NOUN
and;CONJ
he;PRON
is;VERB
only;ADV
24;NUM
.;PUNCT
The;DET
world;NOUN
ain't;VERB
ready;ADJ
.;PUNCT
After;ADP
using;VERB
LaTeX;NOUN
a;DET
lot;NOUN
,;COMMA
any;DET
other;DET
typeset;ADJ
mathematics;NOUN
just;ADV
looks;VERB
hideous;ADJ
.;PUNCT
According;VERB
to;ADP
the;DET
create;VERB
a;DET
school;NOUN
,;COMMA
Notre;NOUN
Dame;NOUN
will;VERB
have;VERB
7;NUM
receivers;NOUN
in;ADP
NCAA;NOUN
10;NUM
at;ADP
84;NUM
or;CONJ
higher;ADJ
rating;NOUN
sweet;ADJ
LAKERS;NOUN
tonight;ADV
let's;VERB
go;VERB
.;PUNCT
Fuzzball;NOUN
is;VERB
more;ADV
fun;NOUN
than;ADP
AT;ADP
amp;NOUN
,;COMMA
T;NOUN
,;COMMA
P;NOUN
Learning;VERB
about;ADV
lambda;NOUN
calculus;NOUN
wth;CONJ
.;PUNCT
Having;VERB
the;DET
old;ADJ
Coca;NOUN
Cola;NOUN
guy;NOUN
on;ADP
the;DET
GM;NOUN
board;NOUN
is;VERB
stupid;ADJ
has;VERB
.;PUNCT
Canon;NOUN
50D;NOUN
.;PUNCT
Love;VERB
love;VERB
love;VERB
it;PRON
.;PUNCT
testing;VERB
Twitter;NOUN
API;NOUN
yahoo;NOUN
answers;NOUN
can;VERB
be;VERB
a;DET
butt;NOUN
sometimes;ADV
my;DET
exam;NOUN
went;VERB
good;ADJ
.;PUNCT
HelloLeonie;NOUN
your;DET
prayers;NOUN
worked;VERB
